company,city,product,header,review,mark,date,link
rosgosstrah,Набережные Челны,ОСАГО,Затягивают сроки дела по ОСАГО,"Было ДТП,сразу обратились в страховую компанию. Компания на каждом этапе затягивает со сроками и тянет до последнего,делать ничего они не хотят. Сроки не соблюдают. Из суммы ущерба в 300 тыс хотят выплатить всего 80 тысяч. Не оформляйте у них ОСАГО,самая ужасная компания. Номер дела 18085165.",2.0,30 нояб 2020,https://www.sravni.ru/strakhovaja-kompanija/rosgosstrah/otzyv/386432/?page=6
rosgosstrah,Волгоград,ОСАГО,Проблемы с осаго,"21.11.2020 г купил полис осаго онлайн,полис прислали ,но в нем не вписан номер VIN.гибдд отказало в регистрации тс и выдаче гос номеров.обрашался и в центральный офис и на гор линию. Везде получил отказ в исправлении ОСАГО. Пришлось оплатить новый полис осаго,верните деньги мошенники .врагам не посоветую связываться с Росгосстрахом.",2.0,27 нояб 2020,https://www.sravni.ru/strakhovaja-kompanija/rosgosstrah/otzyv/386352/?page=7
rosgosstrah,Белгород,ОСАГО,Очередной обман,"Ситуация один в один с Александром и Кристиной. Ну вы меня извините, если раз, ну два сбой. А тут уже закономерность. От РСА ответ пришел о заключении договора с номером полиса, чек об оплате пришел. А самого главного, полиса нет. Вы вините РСА, я им звонила, ответили что проблема в СК, а не у них. Так верните деньги, я оформлять в др. СК ОСАГО. Ничего... ",3.0,20 нояб 2020,https://www.sravni.ru/strakhovaja-kompanija/rosgosstrah/otzyv/385659/?page=9
rosgosstrah,Белгород,Другое,Расторжение договора,Обращение по расторжения договора страхования отослано и принято  под номером J-4521331 с полным пакет документов.,1.0,04 нояб 2020,https://www.sravni.ru/strakhovaja-kompanija/rosgosstrah/otzyv/383931/?page=14
rosgosstrah,Омск,ОСАГО,Не возвращают деньги за расторжение ОСАГО уже 20 дней,"Здравствуйте. Я продал машину. И в связи с этим мне нужно было расторгнуть договор по полису ОСАГО дабы вернуть денежные средства за уплаченный период, который еще не истек. Страховкой я пропользовался недолго и из 10 100 мне должны вернуть 5236. 12.10.2020 я приехал в офис компании. Там составил заявление на расторжение договора. После подачи всех... ",2.0,30 окт 2020,https://www.sravni.ru/strakhovaja-kompanija/rosgosstrah/otzyv/383405/?page=16
rosgosstrah,Фрязино,ОСАГО,Волокита при рассмотрении выплатного дела,Страховая компания затягивает рассмотрение документов как только может.,3.0,28 окт 2020,https://www.sravni.ru/strakhovaja-kompanija/rosgosstrah/otzyv/383091/?page=17
rosgosstrah,Ардон,Страхование имущества и недвижимости,Обманщики!!,"30.09.20 я отправила в электронном виде все документы на расторжение договора и они написали, что принято,прошло 28 дней, а деньги не хотят возвращать",1.0,28 окт 2020,https://www.sravni.ru/strakhovaja-kompanija/rosgosstrah/otzyv/383084/?page=17
rosgosstrah,Санкт-Петербург,Страхование жизни,Не вернули вовремя деньги,05.10.2020 написал заявление на отказ от страховки жизни сказали в течение 10 рабочих дней деньги будут перечислены по указанным мной реквизитам. Денег нет до сих пор С-ва Фотима Тахировна Договора  серия СЖ24 0041**** 05.10.2020 прошу разобраться в данной ситуации или я буду обращаться в суд,1.0,23 окт 2020,https://www.sravni.ru/strakhovaja-kompanija/rosgosstrah/otzyv/382491/?page=19
rosgosstrah,Астрахань,Другое,Не возвращают страховку ,"Подала заявление 6.10.2020 на досрочное прекращение договора СК002477 91937582 , не возвращают деньги, хотя две недели указанные уже прошли, на горячей линии не дают внятного ответа, кроме «ждите». Пожалуйста дайте решение этой проблемы . С-на Валерия",3.0,23 окт 2020,https://www.sravni.ru/strakhovaja-kompanija/rosgosstrah/otzyv/382433/?page=19
rosgosstrah,Пенза,Страхование имущества и недвижимости,Не возвращают страховку в период охлаждения,"02.10.2010 написал заявление на отказ от страховки ргс поломка в период охлаждения, сказали в течение 10 рабочих дней деньги будут перечислены по указанным мной реквизитам. Денег нет до сих порК-ов Дмитрий НиколаевичДоговор серия С002477 номер8899**** от 01.10.2020 прошу разобраться в данной ситуации или я буду обращаться в суд",3.0,16 окт 2020,https://www.sravni.ru/strakhovaja-kompanija/rosgosstrah/otzyv/381879/?page=21
