,company,city,product,header,review,mark,date,link,full_review,class
0,rosgosstrah,Набережные Челны,ОСАГО,Затягивают сроки дела по ОСАГО,"Было ДТП,сразу обратились в страховую компанию. Компания на каждом этапе затягивает со сроками и тянет до последнего,делать ничего они не хотят. Сроки не соблюдают. Из суммы ущерба в 300 тыс хотят выплатить всего 80 тысяч. Не оформляйте у них ОСАГО,самая ужасная компания. Номер дела 18085165.",2.0,30-Nov-2020,https://www.sravni.ru/strakhovaja-kompanija/rosgosstrah/otzyv/386432/?page=6,затягивают сроки дела по осаго было дтп сразу обратились в страховую компанию  компания на каждом этапе затягивает со сроками и тянет до последнего делать ничего они не хотят  сроки не соблюдают  из суммы ущерба в     тыс хотят выплатить всего    тысяч  не оформляйте у них осаго самая ужасная компания  номер дела          ,-1.0
1,rosgosstrah,Волгоград,ОСАГО,Проблемы с осаго,"21.11.2020 г купил полис осаго онлайн,полис прислали ,но в нем не вписан номер VIN.гибдд отказало в регистрации тс и выдаче гос номеров.обрашался и в центральный офис и на гор линию. Везде получил отказ в исправлении ОСАГО. Пришлось оплатить новый полис осаго,верните деньги мошенники .врагам не посоветую связываться с Росгосстрахом.",2.0,27-Nov-2020,https://www.sravni.ru/strakhovaja-kompanija/rosgosstrah/otzyv/386352/?page=7,проблемы с осаго            г купил полис осаго онлайн полис прислали  но в нем не вписан номер vin гибдд отказало в регистрации тс и выдаче гос номеров обрашался и в центральный офис и на гор линию  везде получил отказ в исправлении осаго  пришлось оплатить новый полис осаго верните деньги мошенники  врагам не посоветую связываться с росгосстрахом ,-1.0
2,rosgosstrah,Белгород,ОСАГО,Очередной обман,"Ситуация один в один с Александром и Кристиной. Ну вы меня извините, если раз, ну два сбой. А тут уже закономерность. От РСА ответ пришел о заключении договора с номером полиса, чек об оплате пришел. А самого главного, полиса нет. Вы вините РСА, я им звонила, ответили что проблема в СК, а не у них. Так верните деньги, я оформлять в др. СК ОСАГО. Ничего... ",3.0,20-Nov-2020,https://www.sravni.ru/strakhovaja-kompanija/rosgosstrah/otzyv/385659/?page=9,очередной обман ситуация один в один с александром и кристиной  ну вы меня извините  если раз  ну два сбой  а тут уже закономерность  от рса ответ пришел о заключении договора с номером полиса  чек об оплате пришел  а самого главного  полиса нет  вы вините рса  я им звонила  ответили что проблема в ск  а не у них  так верните деньги  я оформлять в др  ск осаго  ничего    ,-1.0
3,rosgosstrah,Белгород,Другое,Расторжение договора,Обращение по расторжения договора страхования отослано и принято  под номером J-4521331 с полным пакет документов.,1.0,04-Nov-2020,https://www.sravni.ru/strakhovaja-kompanija/rosgosstrah/otzyv/383931/?page=14,расторжение договора обращение по расторжения договора страхования отослано и принято  под номером j         с полным пакет документов ,-1.0
4,rosgosstrah,Омск,ОСАГО,Не возвращают деньги за расторжение ОСАГО уже 20 дней,"Здравствуйте. Я продал машину. И в связи с этим мне нужно было расторгнуть договор по полису ОСАГО дабы вернуть денежные средства за уплаченный период, который еще не истек. Страховкой я пропользовался недолго и из 10 100 мне должны вернуть 5236. 12.10.2020 я приехал в офис компании. Там составил заявление на расторжение договора. После подачи всех... ",2.0,30-Oct-2020,https://www.sravni.ru/strakhovaja-kompanija/rosgosstrah/otzyv/383405/?page=16,не возвращают деньги за расторжение осаго уже    дней здравствуйте  я продал машину  и в связи с этим мне нужно было расторгнуть договор по полису осаго дабы вернуть денежные средства за уплаченный период  который еще не истек  страховкой я пропользовался недолго и из        мне должны вернуть                  я приехал в офис компании  там составил заявление на расторжение договора  после подачи всех    ,-1.0
5,rosgosstrah,Фрязино,ОСАГО,Волокита при рассмотрении выплатного дела,Страховая компания затягивает рассмотрение документов как только может.,3.0,28-Oct-2020,https://www.sravni.ru/strakhovaja-kompanija/rosgosstrah/otzyv/383091/?page=17,волокита при рассмотрении выплатного дела страховая компания затягивает рассмотрение документов как только может ,-1.0
6,rosgosstrah,Ардон,Страхование имущества и недвижимости,Обманщики!!,"30.09.20 я отправила в электронном виде все документы на расторжение договора и они написали, что принято,прошло 28 дней, а деньги не хотят возвращать",1.0,28-Oct-2020,https://www.sravni.ru/strakhovaja-kompanija/rosgosstrah/otzyv/383084/?page=17,обманщики            я отправила в электронном виде все документы на расторжение договора и они написали  что принято прошло    дней  а деньги не хотят возвращать,-1.0
7,rosgosstrah,Санкт-Петербург,Страхование жизни,Не вернули вовремя деньги,05.10.2020 написал заявление на отказ от страховки жизни сказали в течение 10 рабочих дней деньги будут перечислены по указанным мной реквизитам. Денег нет до сих пор С-ва Фотима Тахировна Договора  серия СЖ24 0041**** 05.10.2020 прошу разобраться в данной ситуации или я буду обращаться в суд,1.0,23-Oct-2020,https://www.sravni.ru/strakhovaja-kompanija/rosgosstrah/otzyv/382491/?page=19,не вернули вовремя деньги            написал заявление на отказ от страховки жизни сказали в течение    рабочих дней деньги будут перечислены по указанным мной реквизитам  денег нет до сих пор с ва фотима тахировна договора  серия сж                       прошу разобраться в данной ситуации или я буду обращаться в суд,-1.0
8,rosgosstrah,Астрахань,Другое,Не возвращают страховку ,"Подала заявление 6.10.2020 на досрочное прекращение договора СК002477 91937582 , не возвращают деньги, хотя две недели указанные уже прошли, на горячей линии не дают внятного ответа, кроме «ждите». Пожалуйста дайте решение этой проблемы . С-на Валерия",3.0,23-Oct-2020,https://www.sravni.ru/strakhovaja-kompanija/rosgosstrah/otzyv/382433/?page=19,не возвращают страховку  подала заявление           на досрочное прекращение договора ск                  не возвращают деньги  хотя две недели указанные уже прошли  на горячей линии не дают внятного ответа  кроме  ждите   пожалуйста дайте решение этой проблемы   с на валерия,-1.0
9,rosgosstrah,Пенза,Страхование имущества и недвижимости,Не возвращают страховку в период охлаждения,"02.10.2010 написал заявление на отказ от страховки ргс поломка в период охлаждения, сказали в течение 10 рабочих дней деньги будут перечислены по указанным мной реквизитам. Денег нет до сих порК-ов Дмитрий НиколаевичДоговор серия С002477 номер8899**** от 01.10.2020 прошу разобраться в данной ситуации или я буду обращаться в суд",3.0,16-Oct-2020,https://www.sravni.ru/strakhovaja-kompanija/rosgosstrah/otzyv/381879/?page=21,не возвращают страховку в период охлаждения            написал заявление на отказ от страховки ргс поломка в период охлаждения  сказали в течение    рабочих дней деньги будут перечислены по указанным мной реквизитам  денег нет до сих порк ов дмитрий николаевичдоговор серия с       номер         от            прошу разобраться в данной ситуации или я буду обращаться в суд,-1.0
10,rosgosstrah,Ульяновск,ОСАГО,Сплошное надувательство,"Оформила ОСАГО 3 октября 2020 года. На почту пришел номер и чек. Страховой видимо не посчитали нужным присылать. В личном кабинете не находит моего полиса программа. На почте поддержке отвечают шаблонами. Рассматривают они заявку!!!! Что рассматривать можно столько времени???? Я в шоке, больше с ними сотрудничать не буду и никому не советую.",4.0,15-Oct-2020,https://www.sravni.ru/strakhovaja-kompanija/rosgosstrah/otzyv/381723/?page=22,сплошное надувательство оформила осаго   октября      года  на почту пришел номер и чек  страховой видимо не посчитали нужным присылать  в личном кабинете не находит моего полиса программа  на почте поддержке отвечают шаблонами  рассматривают они заявку     что рассматривать можно столько времени     я в шоке  больше с ними сотрудничать не буду и никому не советую ,1.0
11,rosgosstrah,Ростов-на-Дону,ОСАГО,Не присылают оплаченный полис ОСАГО на почту,"02.10.2020 был заключен договор и оплачен полис е-ОСАГО через РСА (е-гарант). В это же день, прислали на почту чек об оплате и сообщение о заключении полиса. Однако, сам полис не прислали (папку СПАМ проверяли неоднократно). И нет его на руках до сих пор, хотя сегодня уже 13.10.2020, полис уже неделю как действует, а также все это время пробивается... ",3.0,13-Oct-2020,https://www.sravni.ru/strakhovaja-kompanija/rosgosstrah/otzyv/381559/?page=23,не присылают оплаченный полис осаго на почту            был заключен договор и оплачен полис е осаго через рса  е гарант   в это же день  прислали на почту чек об оплате и сообщение о заключении полиса  однако  сам полис не прислали  папку спам проверяли неоднократно   и нет его на руках до сих пор  хотя сегодня уже             полис уже неделю как действует  а также все это время пробивается    ,-1.0
12,rosgosstrah,Йошкар-Ола,Другое,Не вернули страховую премию при расторжении договора в период охлаждения,Здравствуйте,2.0,13-Oct-2020,https://www.sravni.ru/strakhovaja-kompanija/rosgosstrah/otzyv/381544/?page=23,не вернули страховую премию при расторжении договора в период охлаждения здравствуйте,-1.0
13,rosgosstrah,Казань,ОСАГО,Россгострах - это  наглый обман ,"4 апреля 2019 года  попал в ДТП. Я был потерпевший стороной. На свою беду  я был застрахован  в россгострахе и страховался там на протяжении 9 лет и не мог представить насколько нагло может повести себя компания  когда дело коснётся выплат.В тот же день я позвонил в россгострах, зарегистрировал страховой случай и на следующий же день меня попросили показать... ",1.0,12-Oct-2020,https://www.sravni.ru/strakhovaja-kompanija/rosgosstrah/otzyv/381491/?page=23,россгострах   это  наглый обман    апреля      года  попал в дтп  я был потерпевший стороной  на свою беду  я был застрахован  в россгострахе и страховался там на протяжении   лет и не мог представить насколько нагло может повести себя компания  когда дело косн тся выплат в тот же день я позвонил в россгострах  зарегистрировал страховой случай и на следующий же день меня попросили показать    ,-1.0
14,rosgosstrah,Подольск,Другое,Не выплатили деньги при расторжении полиса в период охлаждения!!!,"Добрый день! 15.09.2020 подала пакет документов на расторжение договора страхования в период охлаждения! 10 и даже 15 дней уже истекли. Никакого внятного ответа от операторов на горячей линии получить нельзя(они ничего не видят и повлиять не могут). В очередном звонке на горячую линию я узнала, что мое обращение отправленное 15.09.20 зарегистрировано... ",1.0,08-Oct-2020,https://www.sravni.ru/strakhovaja-kompanija/rosgosstrah/otzyv/381064/?page=25,не выплатили деньги при расторжении полиса в период охлаждения    добрый день             подала пакет документов на расторжение договора страхования в период охлаждения     и даже    дней уже истекли  никакого внятного ответа от операторов на горячей линии получить нельзя они ничего не видят и повлиять не могут   в очередном звонке на горячую линию я узнала  что мое обращение отправленное          зарегистрировано    ,-1.0
15,rosgosstrah,Белорецк,Другое,Затягивают с выплатами . ,"Добрый день. В нашей семье случилось горе , сгорел дом , баня , вообщем всё, ничего не осталось .Дом был застрахован . 2.09 сдала все недостающие документы , в статусе выплатного дела была указана дата 5.10 будет принято решение , зашла посмотреть , а там уже написано « плановая дата не определена» . Сколько ещё ждать ? Впереди зима , в семье маленькие... ",3.0,06-Oct-2020,https://www.sravni.ru/strakhovaja-kompanija/rosgosstrah/otzyv/380771/?page=26,затягивают с выплатами    добрый день  в нашей семье случилось горе   сгорел дом   баня   вообщем вс   ничего не осталось  дом был застрахован        сдала все недостающие документы   в статусе выплатного дела была указана дата      будет принято решение   зашла посмотреть   а там уже написано   плановая дата не определена    сколько ещ  ждать   впереди зима   в семье маленькие    ,-1.0
